Judge,Cluster,Week,Session Number,Position,Brew,Temp.x,TDS.x,PE.x,Dose,Setting,Grind,Empty Carafe,Full Carafe,Brew Mass,TDS__1,Percent Extraction,pH,Initial NaOH,Final NaOH,Titration pH,Volume,Brew Temperature,Pour Temp,90Sec Temp,Liking,Temp,Flavor.intensity,Acidity,Mouthfeel,Tea.floral,Fruit,Citrus,Green.veg,Paper.wood,Burnt,Cereal,Nutty,Dark.chocolate,Caramel,Bitter,Astringent,Roasted,Sour,Thick.viscous,Sweet,Rubber,Purchase.intent
1,1,3,13,3,87-1.0-16,Low,Low,Low,176.1,1SM,5,1769.3,4598.4,2829.1,1.05,16.86856899,5.05,13.3,18.3,8.2,5,81.1,67,63.5,6,4,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1,1,2,10,2,87-1.0-20,Low,Low,Medium,145,6LG,3,1764.3,4670.2,2905.9,0.97,19.43946897,5.01,14.3,18.8,8.2,4.5,81,69.4,63.9,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,1,3,13,9,87-1.0-24,Low,Low,High,119,4LG,3,1791,4675.1,2884.1,0.96,23.26668908,5.11,18.5,22.6,8.2,4.1,78.6,66.3,61.5,2,4,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
1,1,2,10,9,87-1.25-16,Low,Medium,Low,215.3,12LG,5,1775.1,4586.2,2811.1,1.07,13.97063168,5.08,3.6,8.6,8.2,5,80.4,68.9,62.1,7,3,3,4,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,1,3,13,10,87-1.25-20,Low,Medium,Medium,176.1,12LG,3,1782.1,4651.3,2869.2,1.27,20.69212947,5.02,7.3,13.1,8.21,5.8,80.8,66.9,62.1,8,3,3,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5
1,1,2,10,5,87-1.25-24,Low,Medium,High,150,13SM,4,1792.3,4711.8,2919.5,1.095,21.31235,5.04,8.9,14.1,8.2,5.2,78,67.5,62.1,6,3,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3
1,1,1,4,4,87-1.5-16,Low,High,Low,252.7,5LG,5,1798.8,4546,2747.2,1.52,16.52451128,5.04,12.4,19.5,8.19,7.1,80.3,67.7,62.4,8,4,4,3,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4
1,1,1,4,6,87-1.5-20,Low,High,Medium,207.6,5LG,3,1776.8,4570.5,2793.7,1.49,20.05112235,5.06,18.4,25.1,8.2,6.7,80.2,71.4,63,8,4,3,3,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5
1,1,3,13,6,87-1.5-24,Low,High,High,176.1,4LG,3,1798.4,4641.9,2843.5,1.43,23.090318,4.98,0.3,7.1,8.21,6.8,78.7,67.1,64,3,3,5,5,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
1,1,1,4,2,90-1.0-16,Medium,Low,Low,176.1,6LG,5,1806,4668.8,2862.8,1,16.25667235,5.06,19.6,24.4,8.21,4.8,83.3,70.8,64.1,7,4,3,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4
1,1,1,4,3,90-1.0-20,Medium,Low,Medium,145,6LG,3,1770.2,4648.2,2878,1.05,20.84068966,5.09,19.6,24.2,8.2,4.6,83.3,69.7,64.5,4,4,2,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
1,1,3,13,4,90-1.0-24,Medium,Low,High,121.1,14SM,3,1775.3,4692,2916.7,0.96,23.12165153,5.07,14.9,19.1,8.21,4.2,82.7,70,65.1,7,3,3,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4
1,1,2,10,8,90-1.25-16,Medium,Medium,Low,215.3,5SM,5,1779.2,4616.2,2837,1.245,16.40531816,5.01,19,25,8.21,6,83.3,71.4,65.3,9,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,1,1,4,1,90-1.25-20,Medium,Medium,Medium,176.1,12LG,3,1762.8,4580.8,2818,1.3,20.80295287,5.12,13.8,19.5,8.2,5.7,82.7,69.2,59.6,8,3,2,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4
1,1,2,10,4,90-1.25-24,Medium,Medium,High,149,4LG,3,1780.2,4640.1,2859.9,1.45,27.83124161,5.02,2.7,9.3,8.22,6.6,80.8,70.2,63.8,9,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
1,1,3,13,7,90-1.5-16,Medium,High,Low,252.7,5LG,5,1762.8,4544.9,2782.1,1.59,17.50510091,4.98,0.3,7.9,8.19,7.6,81.4,68.6,59.6,6,4,4,3,5,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
